Name,,male,bald,white hair,dark hair,glasses,long hair,medium hair,short hair,blue shirt,collar,smiling,teeth,jewelry,earrings,facial hair,caucasian,portrait background,other people,other faces,flag,left,forward,right,sunglasses,headwear,hat
Mitchell_Crooks/,,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N
Lili_Marinho/,,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N
Teri_ORourke/,,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N
Rick_Husband/,,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Alex_Holmes/,,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N
Hama_Arba_Diallo/,,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N
Jose_Serra/,,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
Florencia_Macri/,,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N
Lesley_Coppin/,,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N
Marsah_Ambrosius/,,N,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N
Sarah_Wynter/,,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Bob_Ferguson/,,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Daryl_Jones/,,Y,N,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N
Marsha_Thomason/,,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N
Jerry_Springer/,,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Brenda_Wilson/,,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
Ahmed_Lopez/,,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
Gregor_Gysi/,,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N
Nur_Jaafar/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Shimon_Peres/,,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
John_Baldacci/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N
Steven_Seagal/,,Y,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Laurie_Laychak/,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N
Jerry_Jones/,,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Hubert_Green/,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y
Mike_Farrar/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Frank_Cassell/,,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N
Sergei_Alexandrovitch_Ordzhonikidze/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N
Stacey_Yamaguchi/,,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N
Diana_Ross/,,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Ali_Bin_Hussein/,,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N
Hatsui_Hasuike/,,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Missy_Crider/,,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
Albert_Montanes/,,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
Johnny_Tapia/,,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N
Biljana_Plavsic/,,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N
Roger_Etchegaray/,,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y
Tonga/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Arnoldo_Aleman/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N
Daniele_Hypolito/,,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N
Jan_Pronk/,,Y,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Cesar_Gaviria/,,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N
Andrew_Niccol/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N
Samuel_Waksal/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
Jim_Anderson/,,Y,N,N,Y,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y
Shane_Hmiel/,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Gaston_Gaudio/,,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Y
Mary_Maddux/,,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N
Trudi_Lacey/,,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N
Tim_Floyd/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Judy_Dean/,,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N
Sid_Caesar/,,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,N,N
Peter_Hillary/,,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Quin_Snyder/,,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N
Daniel_Osorno/,,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Lisa_Ling/,,N,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N
Agnes_Bruckner/,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Emily_Mortimer/,,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y
David_Obey/,,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,N,N
Arnold_Palmer/,,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N
Prince_Philippe/,,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N
Henning_Scherf/,,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
Antonio_Palocci/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N
Doug_Racine/,,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Bruce_Weber/,,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N
Roy_Halladay/,,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y
Arye_Mekel/,,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N
Luke_Ridnour/,,Y,N,N,Y,N,N,N,Y,N,N,Yq,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
Igor_Ivanov/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
Susan_Collins/,,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Juergen_Chrobog/,,Y,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N
Leisel_Jones/,,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Alejandro_Toledo/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
Don_Carcieri/,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N
Julio_Rossi/,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
Jack_LaLanne/,,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N
Job_Cohen/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N
Uthai_Pimchaichon/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N
Mohamed_Seineldin/,,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
Mario_Cipollini/,,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N
Koichi_Haraguchi/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N
Yoo_Jay-Kun/,,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
Desmon_Farmer/,,Y,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,Y,N,Y,N
Saman_Shali/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
Mireille_Jospin-Dandieu/,,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N
Ramiro_Goben_Reducindo/,,Y,N,N,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N
Dominik_Garcia-Lorido/,,N,N,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N
Rosalyn_Carter/,,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Mo_Elleithee/,,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
Stephen_Push/,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N
Kathleen_Kennedy_Townsend/,,N,N,N,Y,N,N,Y,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y,N,N,N
Robert_Wagner/,,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Loretta_Lynn_Harper/,,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,N
Fernando_Sanz/,,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
Michael_Weiss/,,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N
Hugh_Carey/,,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Robert_Nardelli/,,Y,Y,N,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N
Cathryn_Crawford/,,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,N
Fidel_Castro_Daiz-Balart/,,Y,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N
Jessica_Lange/,,N,N,N,N,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y,Y,N,N
